"collection_date","tests","moving_average_tests","cases","moving_average_cases","percent_results_returned_1day"
2020-11-24,2333,1960.71428571429,17,11.6666666666667,0.955850835833691
2020-11-25,162,1667,7,11.3333333333333,0.277777777777778
2020-11-26,4,1255.71428571429,0,8,1
2020-11-27,368,844.857142857143,7,7.16666666666667,0.326086956521739
2020-11-29,35,828,0,6.66666666666667,1
2020-11-30,1916,688.285714285714,18,8.16666666666667,0.999478079331942
2020-12-01,1512,571,7,6.5,0.989417989417989
2020-12-02,1171,715.142857142857,9,6.83333333333333,0.999146029035013
2020-12-03,1686,955.428571428571,7,8,0.999406880189798
2020-12-04,64,912,6,7.83333333333333,0.984375
2020-12-07,1913,906.571428571429,12,8.2,0.991113434396236
2020-12-08,1391,889.285714285714,9,8.6,0.98705966930266
2020-12-09,1020,867.714285714286,3,7.4,0.998039215686275
2020-12-10,1619,858.142857142857,2,6.4,1
2020-12-11,48,855.857142857143,2,5.6,0.604166666666667
2020-12-14,1690,824,6,4.4,0.992899408284024
2020-12-15,1442,831.285714285714,7,4,0.999306518723994
2020-12-16,1252,864.428571428571,1,3.6,0.998402555910543
2020-12-17,29,637.285714285714,0,3.2,1
2020-12-18,42,636.428571428571,2,3.2,0.547619047619048
2020-12-21,1970,676.428571428571,6,3.2,1
2020-12-22,1779,724.571428571429,8,3.4,0.895446880269814
2020-12-23,38,551.142857142857,2,3.6,1
2020-12-24,61,555.714285714286,0,3.6,0.819672131147541
2020-12-28,1534,487.428571428571,12,5.5,0.999348109517601
2020-12-29,1337,424.285714285714,11,6.25,0.916978309648467
2020-12-30,38,424.285714285714,0,5.75,1
2020-12-31,18,418.142857142857,1,6,0.555555555555556
2021-01-04,1983,482.285714285714,35,11.75,0.999495713565305
2021-01-05,1589,518.285714285714,24,15,0.99370673379484
2021-01-06,1071,665.857142857143,14,18.5,0.996265172735761
2021-01-07,1463,872.285714285714,12,21.25,0.859876965140123
2021-01-08,59,880.714285714286,6,18.2,0.559322033898305
2021-01-11,1657,834.142857142857,18,14.8,0.898611949305975
2021-01-12,1549,828.428571428571,11,12.2,0.777275661717237
2021-01-13,1075,829,7,10.8,0.99906976744186
2021-01-14,1678,859.714285714286,16,11.6,0.99761620977354
2021-01-15,53,858.857142857143,0,10.4,0.547169811320755
2021-01-18,1320,810.714285714286,12,9.2,0.995454545454545
2021-01-19,1410,790.857142857143,11,9.2,0.968794326241135
2021-01-20,1372,833.285714285714,5,8.8,0.825072886297376
2021-01-21,1878,861.857142857143,8,7.2,0.994675186368477
2021-01-22,33,859,2,7.6,0.666666666666667
2021-01-25,3191,1126.28571428571,22,9.6,0.99341899091194
2021-01-26,2637,1301.57142857143,14,10.2,0.993932499051953
2021-01-27,2061,1400,10,11.2,0.985443959243086
2021-01-28,3046,1566.85714285714,18,13.2,0.978988837820092
2021-01-29,2712,1949.57142857143,10,14.8,0.966814159292035
2021-01-30,1512,2165.57142857143,9,13.8333333333333,0.656084656084656
2021-01-31,1411,2367.14285714286,7,12.8571428571429,0.994330262225372
2021-02-01,1867,2178,33,14.4285714285714,0.994108194965185
2021-02-02,2723,2190.28571428571,103,27.1428571428571,0.997429305912596
2021-02-03,3661,2418.85714285714,98,39.7142857142857,0.99781480469817
2021-02-04,4302,2598.28571428571,91,50.1428571428571,0.99721059972106
2021-02-05,4236,2816,70,58.7142857142857,0.998583569405099
2021-02-06,134,2619.14285714286,12,59.1428571428571,1
2021-02-07,56,2425.57142857143,9,59.4285714285714,1
